,Id2,Id,name,totalPop,under5yr,under18yr,over65yr
86,2188,0500000US02188,"Northwest Arctic Borough, Alaska",7671,780,2706,561
87,2195,0500000US02195,"Petersburg Borough, Alaska",3221,193,670,615
88,2198,0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",6422,389,1471,1096
89,2220,0500000US02220,"Sitka City and Borough, Alaska",8647,437,1854,1361
90,2230,0500000US02230,"Skagway Municipality, Alaska",1148,61,182,167
91,2240,0500000US02240,"Southeast Fairbanks Census Area, Alaska",6918,515,1753,1005
92,2261,0500000US02261,"Valdez-Cordova Census Area, Alaska",9164,622,2146,1256
93,2275,0500000US02275,"Wrangell City and Borough, Alaska",2503,116,501,548
94,2282,0500000US02282,"Yakutat City and Borough, Alaska",604,33,112,118
95,2290,0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5327,371,1454,810
96,4001,0500000US04001,"Apache County, Arizona",71818,4799,19518,10986
97,4003,0500000US04003,"Cochise County, Arizona",126770,7409,27312,28326
98,4005,0500000US04005,"Coconino County, Arizona",142854,7882,29454,17855
99,4007,0500000US04007,"Gila County, Arizona",53889,3034,10827,15506
100,4009,0500000US04009,"Graham County, Arizona",38072,2730,10287,5310
101,4011,0500000US04011,"Greenlee County, Arizona",9483,756,2590,1248
102,4012,0500000US04012,"La Paz County, Arizona",21098,1002,3540,8287
103,4013,0500000US04013,"Maricopa County, Arizona",4410824,279620,1052788,669285
104,4015,0500000US04015,"Mohave County, Arizona",209550,9161,35739,63526
105,4017,0500000US04017,"Navajo County, Arizona",110445,7673,29472,20010
106,4019,0500000US04019,"Pima County, Arizona",1039073,58491,216736,205255
107,4021,0500000US04021,"Pinal County, Arizona",447138,25250,100778,91129
108,4023,0500000US04023,"Santa Cruz County, Arizona",46511,3211,12435,8421
109,4025,0500000US04025,"Yavapai County, Arizona",231993,9689,37687,73278
110,4027,0500000US04027,"Yuma County, Arizona",212128,15229,53494,39828
111,5001,0500000US05001,"Arkansas County, Arkansas",17769,1179,4074,3484
112,5003,0500000US05003,"Ashley County, Arkansas",20046,1226,4582,4081
113,5005,0500000US05005,"Baxter County, Arkansas",41619,1921,7384,12860
114,5007,0500000US05007,"Benton County, Arkansas",272608,19055,71569,36557
115,5009,0500000US05009,"Boone County, Arkansas",37480,2387,8593,7743
116,5011,0500000US05011,"Bradley County, Arkansas",10897,662,2611,2067
117,5013,0500000US05013,"Calhoun County, Arkansas",5277,237,995,1137
118,5015,0500000US05015,"Carroll County, Arkansas",28223,1654,6065,6544
119,5017,0500000US05017,"Chicot County, Arkansas",10438,599,2327,2122
120,5019,0500000US05019,"Clark County, Arkansas",22061,1161,4184,3687
121,5021,0500000US05021,"Clay County, Arkansas",14847,924,3228,3179
122,5023,0500000US05023,"Cleburne County, Arkansas",24965,1095,4737,6687
123,5025,0500000US05025,"Cleveland County, Arkansas",8018,412,1754,1683
124,5027,0500000US05027,"Columbia County, Arkansas",23537,1360,4871,4101
125,5029,0500000US05029,"Conway County, Arkansas",20891,1222,4712,4095
126,5031,0500000US05031,"Craighead County, Arkansas",108558,7597,27090,15030
127,5033,0500000US05033,"Crawford County, Arkansas",63406,3970,15501,10547
128,5035,0500000US05035,"Crittenden County, Arkansas",48342,3686,13076,6838
129,5037,0500000US05037,"Cross County, Arkansas",16676,1047,3906,3130
130,5039,0500000US05039,"Dallas County, Arkansas",7182,376,1535,1665
131,5041,0500000US05041,"Desha County, Arkansas",11512,772,2950,2188
132,5043,0500000US05043,"Drew County, Arkansas",18328,1096,3939,3207
133,5045,0500000US05045,"Faulkner County, Arkansas",124806,7621,28780,15582
134,5047,0500000US05047,"Franklin County, Arkansas",17810,993,4074,3443
135,5049,0500000US05049,"Fulton County, Arkansas",12269,601,2521,3221
136,5051,0500000US05051,"Garland County, Arkansas",99154,5336,19941,23632
137,5053,0500000US05053,"Grant County, Arkansas",18188,980,4081,3275
138,5055,0500000US05055,"Greene County, Arkansas",45325,2968,11103,7242
139,5057,0500000US05057,"Hempstead County, Arkansas",21741,1565,5609,3905
140,5059,0500000US05059,"Hot Spring County, Arkansas",33701,1716,6914,6369
141,5061,0500000US05061,"Howard County, Arkansas",13341,939,3472,2394
142,5063,0500000US05063,"Independence County, Arkansas",37678,2422,9122,6603
143,5065,0500000US05065,"Izard County, Arkansas",13593,585,2447,3506
144,5067,0500000US05067,"Jackson County, Arkansas",16811,981,3381,3051
145,5069,0500000US05069,"Jefferson County, Arkansas",68114,4158,15053,11777
146,5071,0500000US05071,"Johnson County, Arkansas",26742,1813,6617,4400
147,5073,0500000US05073,"Lafayette County, Arkansas",6682,341,1230,1606
148,5075,0500000US05075,"Lawrence County, Arkansas",16434,960,3614,3242
149,5077,0500000US05077,"Lee County, Arkansas",8985,447,1639,1764
150,5079,0500000US05079,"Lincoln County, Arkansas",13383,537,2250,2049
151,5081,0500000US05081,"Little River County, Arkansas",12326,734,2742,2589
152,5083,0500000US05083,"Logan County, Arkansas",21737,1310,4711,4315
153,5085,0500000US05085,"Lonoke County, Arkansas",73657,4988,19009,9808
154,5087,0500000US05087,"Madison County, Arkansas",16481,1112,3904,3143
155,5089,0500000US05089,"Marion County, Arkansas",16722,837,3116,4768
156,5091,0500000US05091,"Miller County, Arkansas",43592,2878,10303,7364
157,5093,0500000US05093,"Mississippi County, Arkansas",41239,2969,10745,6100
158,5095,0500000US05095,"Monroe County, Arkansas",6900,451,1453,1601
159,5097,0500000US05097,"Montgomery County, Arkansas",8924,420,1639,2411
160,5099,0500000US05099,"Nevada County, Arkansas",8326,484,1882,1718
161,5101,0500000US05101,"Newton County, Arkansas",7805,381,1502,2069
162,5103,0500000US05103,"Ouachita County, Arkansas",23606,1328,5293,4810
163,5105,0500000US05105,"Perry County, Arkansas",10352,620,2314,2091
164,5107,0500000US05107,"Phillips County, Arkansas",18029,1386,4646,3426
165,5109,0500000US05109,"Pike County, Arkansas",10673,553,2281,2176
166,5111,0500000US05111,"Poinsett County, Arkansas",23974,1622,5760,4296
167,5113,0500000US05113,"Polk County, Arkansas",20049,1196,4567,4611
168,5115,0500000US05115,"Pope County, Arkansas",64000,4056,14509,10081
169,5117,0500000US05117,"Prairie County, Arkansas",8074,430,1613,1920
170,5119,0500000US05119,"Pulaski County, Arkansas",392680,25974,91009,61075
171,5121,0500000US05121,"Randolph County, Arkansas",17948,1139,4255,3579
172,5123,0500000US05123,"St. Francis County, Arkansas",25439,1583,5396,4122
173,5125,0500000US05125,"Saline County, Arkansas",121421,7084,28223,21564
174,5127,0500000US05127,"Scott County, Arkansas",10319,581,2396,2152
175,5129,0500000US05129,"Searcy County, Arkansas",7958,418,1626,1988
176,5131,0500000US05131,"Sebastian County, Arkansas",127753,8387,30525,20504
177,5133,0500000US05133,"Sevier County, Arkansas",17139,1353,4874,2493
178,5135,0500000US05135,"Sharp County, Arkansas",17366,938,3572,4530
179,5137,0500000US05137,"Stone County, Arkansas",12457,596,2396,3416
180,5139,0500000US05139,"Union County, Arkansas",39126,2568,9419,7017
181,5141,0500000US05141,"Van Buren County, Arkansas",16603,802,3328,4325
182,5143,0500000US05143,"Washington County, Arkansas",236961,16141,57728,27809
183,5145,0500000US05145,"White County, Arkansas",78727,4656,18157,12932
184,5147,0500000US05147,"Woodruff County, Arkansas",6490,381,1421,1502
185,5149,0500000US05149,"Yell County, Arkansas",21535,1386,5335,3829
186,6001,0500000US06001,"Alameda County, California",1666753,96716,342510,230510
187,6003,0500000US06003,"Alpine County, California",1101,44,193,280
188,6005,0500000US06005,"Amador County, California",39383,1615,5914,10633
189,6007,0500000US06007,"Butte County, California",231256,12803,46213,42992
190,6009,0500000US06009,"Calaveras County, California",45602,1955,7721,12553
191,6011,0500000US06011,"Colusa County, California",21627,1543,5907,3163
192,6013,0500000US06013,"Contra Costa County, California",1150215,64973,259791,181443
193,6015,0500000US06015,"Del Norte County, California",27828,1560,5854,5018
194,6017,0500000US06017,"El Dorado County, California",190678,8704,37821,40389
195,6019,0500000US06019,"Fresno County, California",994400,77299,281819,122113
196,6021,0500000US06021,"Glenn County, California",28047,1995,7453,4453
197,6023,0500000US06023,"Humboldt County, California",136373,7251,26184,24380
198,6025,0500000US06025,"Imperial County, California",181827,14889,51765,23580
199,6027,0500000US06027,"Inyo County, California",17987,1011,3681,4210
200,6029,0500000US06029,"Kern County, California",896764,69785,259180,98347
201,6031,0500000US06031,"Kings County, California",151366,11371,40964,15516
202,6033,0500000US06033,"Lake County, California",64382,3779,13490,14635
203,6035,0500000US06035,"Lassen County, California",30802,1533,5267,4667
204,6037,0500000US06037,"Los Angeles County, California",10105518,603555,2188893,1375957
205,6039,0500000US06039,"Madera County, California",157672,11922,43339,22051
206,6041,0500000US06041,"Marin County, California",259666,11842,51925,57943
207,6043,0500000US06043,"Mariposa County, California",17471,750,2828,4882
208,6045,0500000US06045,"Mendocino County, California",87606,5160,18713,19366
209,6047,0500000US06047,"Merced County, California",274765,21174,80588,30845
210,6049,0500000US06049,"Modoc County, California",8777,435,1708,2358
211,6051,0500000US06051,"Mono County, California",14250,691,2608,2253
212,6053,0500000US06053,"Monterey County, California",435594,30950,113834,59201
213,6055,0500000US06055,"Napa County, California",139417,7049,28800,26665
214,6057,0500000US06057,"Nevada County, California",99696,4282,17071,27380
215,6059,0500000US06059,"Orange County, California",3185968,187486,698788,470387
216,6061,0500000US06061,"Placer County, California",393149,20976,87441,76906
217,6063,0500000US06063,"Plumas County, California",18804,861,3173,5345
218,6065,0500000US06065,"Riverside County, California",2450758,158812,616126,353122
219,6067,0500000US06067,"Sacramento County, California",1540975,98953,363909,217601
220,6069,0500000US06069,"San Benito County, California",61537,4072,15827,7937
221,6071,0500000US06071,"San Bernardino County, California",2171603,155258,572278,251361
222,6073,0500000US06073,"San Diego County, California",3343364,208270,722408,469454
223,6075,0500000US06075,"San Francisco County, California",883305,39722,118692,138249
224,6077,0500000US06077,"San Joaquin County, California",752660,53303,204316,95916
225,6079,0500000US06079,"San Luis Obispo County, California",284010,13125,50000,57040
226,6081,0500000US06081,"San Mateo County, California",769545,43545,158383,123921
227,6083,0500000US06083,"Santa Barbara County, California",446527,27676,98787,68465
228,6085,0500000US06085,"Santa Clara County, California",1937570,115074,424427,261131
229,6087,0500000US06087,"Santa Cruz County, California",274255,13937,52852,45127
230,6089,0500000US06089,"Shasta County, California",180040,10597,38584,37553
231,6091,0500000US06091,"Sierra County, California",2987,139,480,945
232,6093,0500000US06093,"Siskiyou County, California",43724,2268,8802,11160
233,6095,0500000US06095,"Solano County, California",446610,26952,98740,70430
234,6097,0500000US06097,"Sonoma County, California",499942,24820,98196,98714
235,6099,0500000US06099,"Stanislaus County, California",549815,39758,148801,72319
236,6101,0500000US06101,"Sutter County, California",96807,6735,25059,14902
237,6103,0500000US06103,"Tehama County, California",63916,4119,15363,12389
238,6105,0500000US06105,"Trinity County, California",12535,544,2140,3420
239,6107,0500000US06107,"Tulare County, California",465861,36884,142848,53292
240,6109,0500000US06109,"Tuolumne County, California",54539,2393,9158,14279
241,6111,0500000US06111,"Ventura County, California",850967,49784,194553,132387
242,6113,0500000US06113,"Yolo County, California",220408,12414,46233,27535
243,6115,0500000US06115,"Yuba County, California",78041,6187,21557,9955
244,8001,0500000US08001,"Adams County, Colorado",511868,36180,135776,53587
245,8003,0500000US08003,"Alamosa County, Colorado",16683,1088,4012,2271
246,8005,0500000US08005,"Arapahoe County, Colorado",651215,40524,153397,85065
247,8007,0500000US08007,"Archuleta County, Colorado",13765,642,2485,3585
248,8009,0500000US08009,"Baca County, Colorado",3585,196,802,886
249,8011,0500000US08011,"Bent County, Colorado",5882,191,877,1055
250,8013,0500000US08013,"Boulder County, Colorado",326078,14494,61951,46486
251,8014,0500000US08014,"Broomfield County, Colorado",69267,3722,16005,9592
